标题,房屋结构,楼层信息,朝向,总面积,小区名,             所属区县,地区,装修信息,梯户比例,挂牌时间,房屋用途,产权信息,总价,单价,抵押信息
地铁万科，房东诚心卖，采光不错。,3室2厅,低楼层(共41层),南,108.54,地铁万科时代广场,红谷滩,庐山南大道,精装,两梯四户,2023-03-17,普通住宅,非共有,235,21652,有抵押
房东诚心出售，视野好，专梯专户......,3室2厅,低楼层(共30层),东南,158.03,海珀九龙,红谷滩,九龙湖,毛坯,两梯两户,2023-03-17,普通住宅,非共有,245,15504,有抵押
书香瑶庭 3室2厅 南 北,3室2厅,中楼层(共27层),南 北,97.95,书香瑶庭,高新区,瑶湖师大,其他,一梯六户,2023-03-17,普通住宅,非共有,198,20215,暂无数据
银亿上尚城北区 3室2厅 南 北,3室2厅,中楼层(共30层),南 北,114,银亿上尚城北区,南昌县,象湖,毛坯,两梯四户,2023-03-17,普通住宅,共有,108,9474,有抵押
省送变电建设公司宿舍 2室2厅 南 北,2室2厅,中楼层(共7层),南 北,109.99,省送变电建设公司宿舍,南昌县,莲塘,其他,一梯两户,2023-03-17,普通住宅,非共有,100,9092,暂无数据
盛世经典 2室2厅 南,2室2厅,中楼层(共33层),南,86.81,盛世经典,红谷滩,岭口路,其他,两梯六户,2023-03-17,普通住宅,非共有,145,16704,暂无数据
伟梦清水湾 4室1厅 南 北,4室1厅,中楼层(共6层),南 北,146.24,伟梦清水湾,南昌县,象湖,其他,一梯两户,2023-03-17,普通住宅,非共有,130,8890,暂无数据
华润橡树湾 3室2厅 南,3室2厅,中楼层(共29层),南,106.99,华润橡树湾,西湖区,朝阳新城,精装,两梯四户,2023-03-17,普通住宅,非共有,192,17946,有抵押 30万元 江西银行
金科集美阳光 3室2厅 南 北,3室2厅,高楼层(共34层),南 北,108,金科集美阳光,经开区,紫荆路,精装,一梯四户,2023-03-17,普通住宅,非共有,100,9260,有抵押 62万元 客户偿还
银亿上尚城南区 3室2厅 南,3室2厅,低楼层(共18层),南,100,银亿上尚城南区,南昌县,象湖,其他,两梯四户,2023-03-17,普通住宅,非共有,110,11000,暂无数据
贵都国际花城小区 3室2厅 南,3室2厅,中楼层(共6层),南,131.6,贵都国际花城小区,南昌县,银三角,其他,一梯两户,2023-03-17,普通住宅,非共有,110,8359,暂无数据
洪恒花园 3室2厅 南,3室2厅,中楼层(共7层),南,101,洪恒花园,湾里区,天宁路,其他,一梯两户,2023-03-17,普通住宅,非共有,62,6139,暂无数据
力高澜湖御景 2室2厅 南,2室2厅,中楼层(共8层),南,108,力高澜湖御景,南昌县,象湖,其他,一梯两户,2023-03-17,普通住宅,非共有,172,15926,暂无数据
万达星城西区 1室1厅 西北,1室1厅,低楼层(共33层),西北,49.33,万达星城西区,红谷滩,翠苑路,精装,两梯八户,2023-03-17,普通住宅,非共有,83,16826,无抵押
柏树外国语旁精装大三房急售，可拎包入住,3室2厅,低楼层(共11层),南 北,128.86,象湖公馆九里象湖城,南昌县,象湖,精装,两梯两户,2023-03-17,普通住宅,非共有,113,8770,无抵押
万科璞悦里 3室2厅 南 北,3室2厅,中楼层(共9层),南 北,112,万科璞悦里,湾里区,天宁路,其他,一梯两户,2023-03-17,普通住宅,非共有,123,10983,暂无数据
新建城B4 3室2厅 南,3室2厅,中楼层(共34层),南,107,新建城B4,新建区,红谷滩,其他,两梯四户,2023-03-17,普通住宅,非共有,80,7477,暂无数据
东华苑小区 2室2厅 南 北,2室2厅,中楼层(共8层),南 北,90.06,东华苑小区,青山湖区,青山湖区,其他,一梯两户,2023-03-17,普通住宅,共有,71.8,7973,暂无数据
红谷滩正中，绿地双子塔旁，南昌身份象征,3室1厅,中楼层(共26层),南 北,192.54,海珀兰庭,红谷滩,秋水广场,精装,两梯两户,2023-03-17,普通住宅,非共有,390,20256,有抵押 业主自还
正荣大湖之都 4室1厅 南,4室1厅,高楼层(共6层),南,106,正荣大湖之都,南昌县,昌南,其他,一梯两户,2023-03-17,普通住宅,非共有,85,8019,暂无数据
天集梅湖明珠一期 2室2厅 南,2室2厅,低楼层(共30层),南,85.69,天集梅湖明珠一期,南昌县,昌南,其他,两梯三户,2023-03-17,普通住宅,非共有,57,6652,暂无数据
满五唯一，有钥匙看房，中间楼层视野开阔,3室1厅,32层,南,93.55,保利香槟国际,高新区,艾溪湖东,毛坯,两梯四户,2023-03-17,普通住宅,共有,140,14966,有抵押 30万元
南天金源大平层  房东诚心出售 看房方便,5室2厅,高楼层(共18层),南,143,南天金源,经开区,紫荆路,毛坯,两梯两户,2023-03-17,普通住宅,共有,230,16084,无抵押
地理位置很好 采光很好 视野开阔 产权清晰,2室2厅,中楼层(共6层),南 北,89,伟梦清水湾,南昌县,象湖,简装,一梯两户,2023-03-17,普通住宅,非共有,86,9663,无抵押
绿地悦公馆 3室1厅 南,3室1厅,中楼层(共30层),南,97,绿地悦公馆,经开区,紫荆路,其他,两梯四户,2023-03-17,普通住宅,非共有,100,10310,暂无数据
万科玖里 3室2厅 南,3室2厅,中楼层(共33层),南,99,万科玖里,经开区,庐山南大道,精装,两梯两户,2023-03-17,普通住宅,非共有,139,14041,无抵押
银亿上尚城南区 3室2厅 南 北,3室2厅,中楼层(共30层),南 北,103,银亿上尚城南区,南昌县,象湖,其他,两梯四户,2023-03-17,普通住宅,非共有,110,10680,暂无数据
九龙馨苑三房，中高楼层，视野开阔，诚心出售。,3室2厅,高楼层(共33层),南,108.4,九龙馨苑,红谷滩,九龙湖,毛坯,两梯四户,2023-03-17,普通住宅,非共有,265,24447,无抵押
金麒麟世家半山半城 3室2厅 南,3室2厅,高楼层(共18层),南,138,金麒麟世家半山半城,新建区,红谷滩,其他,两梯三户,2023-03-17,普通住宅,非共有,100,7247,暂无数据
象湖景苑 3室2厅 南,3室2厅,低楼层(共7层),南,93,象湖景苑,南昌县,象湖,其他,一梯两户,2023-03-17,普通住宅,非共有,115,12366,暂无数据
房子带两个车位，适合居住一大家人，业主诚心出售,5室2厅,低楼层(共6层),南,125,新力金沙湾,南昌县,象湖,简装,一梯两户,2023-03-17,普通住宅,非共有,235,18800,暂无数据
新力怡园 3室1厅 南,3室1厅,高楼层(共34层),南,89,新力怡园,新建区,红湾大道以北,其他,两梯四户,2023-03-17,普通住宅,非共有,130,14607,暂无数据
泰然雅居小区 3室2厅 南,3室2厅,低楼层(共11层),南,96.55,泰然雅居小区,南昌县,莲塘,其他,一梯两户,2023-03-17,普通住宅,非共有,100,10358,暂无数据
户型方正，采光好，便利，看房预约。,2室1厅,低楼层(共8层),南 北,39.58,坝口巷,西湖区,八一广场,精装,一梯五户,2023-03-17,普通住宅,非共有,40,10107,无抵押
平安象湖风情 3室2厅 南 北,3室2厅,中楼层(共6层),南 北,126.7,平安象湖风情,南昌县,象湖,其他,一梯两户,2023-03-17,普通住宅,非共有,108,8525,暂无数据
新建城B4 3室2厅 南,3室2厅,中楼层(共34层),南,107,新建城B4,新建区,红谷滩,其他,两梯四户,2023-03-17,普通住宅,非共有,80,7477,暂无数据
经开正荣府 3室2厅 南 北,3室2厅,低楼层(共10层),南 北,105,经开正荣府,经开区,紫荆路,其他,一梯两户,2023-03-17,普通住宅,非共有,138,13143,暂无数据
凯旋公馆 2室1厅 南,2室1厅,低楼层(共23层),南,83,凯旋公馆,南昌县,昌南,其他,两梯四户,2023-03-17,普通住宅,非共有,75,9037,暂无数据
中建汇鑫花苑 3室2厅 南,3室2厅,中楼层(共18层),南,109,中建汇鑫花苑,南昌县,昌南,其他,两梯五户,2023-03-17,普通住宅,非共有,98,8991,暂无数据
融创红谷世界城 3室2厅 南,3室2厅,中楼层(共32层),南,94.86,融创红谷世界城,新建区,红湾大道以南,其他,两梯四户,2023-03-17,普通住宅,非共有,115,12124,暂无数据
精装修四房 两梯两户 三房朝南 诚心出售,4室2厅,中楼层(共18层),南 北,128,居住主题公园-枫丹白鹭,南昌县,象湖,精装,两梯两户,2023-03-17,普通住宅,共有,120,9375,无抵押
路通城邦精装二房  楼层好交通便利,2室2厅,中楼层(共6层),南,87.96,路通城邦小区,南昌县,银三角,精装,一梯两户,2023-03-17,普通住宅,共有,60,6822,有抵押 52万元
新力银湖湾 3室2厅 南,3室2厅,中楼层(共6层),南,111,新力银湖湾,南昌县,象湖,其他,一梯两户,2023-03-17,普通住宅,非共有,160,14415,暂无数据
房子户型方正 得房率高 楼层好 太阳充足,3室2厅,中楼层(共6层),南 北,121.25,名门世家,红谷滩,秋水广场,精装,一梯两户,2023-03-17,普通住宅,非共有,258,21279,无抵押
世茂大观北苑 3室2厅 南,3室2厅,高楼层(共47层),南,97.09,世茂大观北苑,西湖区,朝阳新城,精装,两梯四户,2023-03-17,普通住宅,非共有,176,18128,有抵押
新力钰珑湾南区 3室1厅 东南,3室1厅,中楼层(共18层),东南,104.1,新力钰珑湾南区,新建区,红谷滩,精装,两梯四户,2023-03-17,普通住宅,共有,120,11528,有抵押
此房环境优美，交通便捷 生活配套齐全的小区,3室2厅,高楼层(共33层),南,89.62,城发红谷十二庭,新建区,红湾大道以南,毛坯,两梯四户,2023-03-17,普通住宅,共有,118,13167,无抵押
银亿上尚城北区 3室1厅 南 北,3室1厅,低楼层(共18层),南 北,121,银亿上尚城北区,南昌县,象湖,其他,两梯两户,2023-03-17,普通住宅,非共有,125,10331,暂无数据
现代米罗恒茂世纪花园 3室2厅 南,3室2厅,中楼层(共6层),南,120,现代米罗恒茂世纪花园,新建区,红湾大道以北,其他,一梯两户,2023-03-17,普通住宅,非共有,102,8500,暂无数据
当代MOMA新城 2室2厅 南,2室2厅,中楼层(共33层),南,78.15,当代MOMA新城,新建区,红湾大道以北,其他,两梯四户,2023-03-17,普通住宅,非共有,85,10877,暂无数据
景城名郡 6室2厅 南,6室2厅,高楼层(共12层),南,84.67,景城名郡,南昌县,象湖,精装,一梯两户,2023-03-17,普通住宅,共有,128,15118,无抵押
海域香廷 3室2厅 南,3室2厅,中楼层(共5层),南,102.43,海域香廷,红谷滩,学府大道,其他,一梯两户,2023-03-17,普通住宅,非共有,200,19526,暂无数据
宏泰世纪滨江 5室2厅 南 北,5室2厅,高楼层(共18层),南 北,203.17,宏泰世纪滨江,西湖区,洪城大市场,其他,一梯三户,2023-03-17,普通住宅,非共有,420,20673,暂无数据
房东急售，户型好端户，小区环境优美有24小时安保,3室1厅,高楼层(共11层),南 北,88.4,江西奥林匹克花园,南昌县,象湖,精装,一梯两户,2023-03-17,普通住宅,共有,90,10181,无抵押
通源新建城A4 3室2厅 南,3室2厅,低楼层(共30层),南,128.15,通源新建城A4,新建区,红谷滩,毛坯,两梯四户,2023-03-17,普通住宅,非共有,90,7024,无抵押
碧海云天 4室2厅 南,4室2厅,高楼层(共6层),南,174.22,碧海云天,青山湖区,塘山广场,其他,一梯两户,2023-03-17,普通住宅,非共有,318,18253,暂无数据
舍里甲社区南泥小区 2室1厅 南 北,2室1厅,高楼层(共7层),南 北,68.46,舍里甲社区南泥小区,经开区,蛟桥,其他,一梯两户,2023-03-17,普通住宅,非共有,42,6135,暂无数据
经开正荣府 3室1厅 南,3室1厅,低楼层(共9层),南,105.84,经开正荣府,经开区,紫荆路,其他,一梯两户,2023-03-17,普通住宅,非共有,140,13228,暂无数据
新建城B4 3室2厅 南,3室2厅,高楼层(共34层),南,107.65,新建城B4,新建区,红谷滩,其他,两梯四户,2023-03-17,普通住宅,非共有,85,7896,暂无数据
新力金沙湾 3室2厅 南,3室2厅,中楼层(共6层),南,111,新力金沙湾,南昌县,象湖,其他,一梯两户,2023-03-17,普通住宅,非共有,170,15316,暂无数据
康城（三期） 3室2厅 南,3室2厅,中楼层(共6层),南,98,康城（三期）,南昌县,莲塘,其他,一梯两户,2023-03-17,普通住宅,非共有,80,8164,暂无数据
香逸熙园 3室1厅 南 北,3室1厅,低楼层(共27层),南 北,88.6,香逸熙园,湾里区,湾里,其他,一梯四户,2023-03-17,普通住宅,非共有,88,9933,暂无数据
恒大城 3室2厅 南,3室2厅,高楼层(共32层),南,104.18,恒大城,南昌县,象湖,其他,两梯三户,2023-03-17,普通住宅,非共有,90,8639,暂无数据
水晶岛九里象湖城 2室1厅 南,2室1厅,中楼层(共6层),南,89,水晶岛九里象湖城,南昌县,象湖,其他,一梯两户,2023-03-17,普通住宅,非共有,90,10113,暂无数据
沁河园小区 3室1厅 东,3室1厅,低楼层(共18层),东,105.86,沁河园小区,进贤县,进贤县,其他,两梯三户,2023-03-17,普通住宅,非共有,88,8313,暂无数据
